scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,cash_end_total,-45734.350518918596,-159127.27378598173,2.378949312633436e+07,0.409,0.591
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,cash_end_unrestricted,4.0745362639427185e-10,-1.1641532182693481e-09,2.338109114859291e+07,0.616,0.357
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,cumulative_net_profit,1.9680541235834975e+06,290107.59250516316,2.6189090762494307e+07,0.942,0.058
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,cumulative_operating_profit,1.4121498226654003e+06,-271545.79270086583,2.5259164873492382e+07,0.85,0.15
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,cumulative_revenue,-4.916455489570516e+07,-4.6227583411930054e+08,-3.6493039867222086e+07,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,final_headcount,2.7498572597352595,0.526142407192343,23.6597598760824,0.955,0.045
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,productive_capacity_added_total,65276.11034917743,48552.389796532494,75131.40516159295,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,productive_capacity_growth_rate,0.011321065910498973,0.009395761306035777,0.07632152236348824,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,risk_adjusted_employee_income,-1216.6884116288347,-7703.691180357046,-923.4223870461283,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,sustainable_development_value_proxy,2.308133891066134e+06,532345.2101965367,3.7179395392906405e+07,0.964,0.036
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,average_employee_income_monthly,-1222.8428413946895,-10541.510992973828,-935.2563760363977,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,capacity_cagr,0.0006367165221219939,0.0005287935729395232,0.004148801360703114,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,cash_end_total,-45734.350518918596,-159127.27378598173,2.378949312633436e+07,0.409,0.591
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,cash_end_unrestricted,4.0745362639427185e-10,-1.1641532182693481e-09,2.338109114859291e+07,0.616,0.357
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,cumulative_net_profit,1.9680541235834975e+06,290107.59250516316,2.6189090762494307e+07,0.942,0.058
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,cumulative_operating_profit,1.4121498226654003e+06,-271545.79270086583,2.5259164873492382e+07,0.85,0.15
