scenario,system_type,behavior_case,market_case,horizon_months,runs,median_cumulative_revenue,p10_cumulative_revenue,p90_cumulative_revenue,median_operating_profit,median_net_profit,median_productivity_per_employee,turnover_rate_annual_average,hiring_and_onboarding_costs_total,average_employee_income_monthly,risk_adjusted_employee_income,employee_cash_distribution_total,member_capital_accounts_total,reinvestment_total_cash,productive_capacity_growth_rate,cash_end_total_median,cash_end_unrestricted_p10,min_unrestricted_cash_p10,liquidity_deficit_probability,bankruptcy_probability,shock_survival_rate,final_headcount_median,revenue_cagr_median,capacity_cagr_median,employee_risk_concentration_index_average,sustainable_development_value_proxy_median,classification,assumption_flags
employee_ownership_partial,employee_ownership_partial,no_effect,default_market,120,1000,7.108348655990751e+08,3.736524013732387e+08,7.714454288030682e+08,-8.117540878349203e+06,-1.2944279645203114e+07,114355.78644753134,0.1049999999999999,5.937276156359367e+06,116768.16425270712,101961.5717319158,1.6789609044790864e+06,303293.8516346347,2.52100482323042e+06,-0.10531021214380998,431519.6509429822,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.625,33.09260725333278,0,-0.011066137466809123,0.10906528973999197,1.5331029003501886e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,no_effect,default_market,240,1000,7.108348655990751e+08,3.736524013732387e+08,7.714454288030682e+08,-8.117540878349203e+06,-1.2944279645203114e+07,57177.89322376567,0.05249999999999995,5.937276156359367e+06,116768.16425270712,103759.7082787405,1.6789609044790864e+06,303293.8516346347,2.52100482323042e+06,-0.10531021214380998,431519.6509429822,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.625,33.09260725333278,0,-0.0055484614459563875,0.05453264486999598,1.5331029003501886e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,retention_only,default_market,60,1000,6.930428656825016e+08,3.699978883538835e+08,7.177428551968685e+08,1.8584688186093327e+06,-3.2571724308305886e+06,217363.21915830008,0.17719999999999986,5.330053763425894e+06,116234.81865450382,113847.64018744747,1.731841490722748e+06,433087.09365525417,2.605489132335695e+06,-0.09860238644194663,8.956396466345558e+06,1.8430257612559772e+06,1.8430257612559772e+06,0.293,0.293,0.7005012531328321,43.56142215869002,-0.01382584200796616,-0.020547721688779053,0.2078825273472718,1.6332266623819107e+08,risk_constrained,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,retention_only,default_market,120,1000,7.258200602815815e+08,3.699978883538835e+08,7.848628672052296e+08,-7.779456420125103e+06,-1.277132306768608e+07,116037.30972117698,0.09450666666666656,5.330053763425894e+06,117105.67410067843,102266.75563922295,1.731841490722748e+06,349842.52887164534,2.605489132335695e+06,-0.10636541834537405,449987.6557484735,-9.313225746154785e-10,-9.37143340706825e-10,1,1,0.6161369193154034,34.61838405968375,0,-0.011182835284779813,0.11081440613376016,1.5320230783333254e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,retention_only,default_market,240,1000,7.258200602815815e+08,3.699978883538835e+08,7.848628672052296e+08,-7.779456420125103e+06,-1.277132306768608e+07,58018.65486058849,0.04725333333333328,5.330053763425894e+06,117105.67410067843,103995.32816798697,1.731841490722748e+06,349842.52887164534,2.605489132335695e+06,-0.10636541834537405,449987.6557484735,-9.313225746154785e-10,-9.37143340706825e-10,1,1,0.6161369193154034,34.61838405968375,0,-0.0056071376391851335,0.05540720306688008,1.5320230783333254e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,risk_concentration_negative,default_market,60,1000,6.796064309024556e+08,3.5518580291421914e+08,7.084691321900803e+08,-1.2962839726070492e+06,-5.990070890036867e+06,217401.6966944118,0.21282907603836088,6.19411811458009e+06,116007.29317971063,113611.50559311087,1.6166362449542521e+06,332191.1430696731,2.431265638369751e+06,-0.09943422208383235,6.598172890131004e+06,5.238689482212067e-10,4.5401975512504644e-10,0.372,0.372,0.6624365482233503,39.622677483933735,-0.029558391898339142,-0.020728561801210688,0.20702873037185268,1.608115693994394e+08,risk_constrained,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,risk_concentration_negative,default_market,120,1000,6.948692198647807e+08,3.5518580291421914e+08,7.573459632338073e+08,-8.370376851779677e+06,-1.3002818989547387e+07,112447.7557175312,0.10998118970262591,6.19411811458009e+06,116421.20095484846,101650.49137330407,1.6166362449542521e+06,279660.12379334087,2.431265638369751e+06,-0.10424239727885071,417622.9087449191,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.6114570361145704,32.4137157322794,0,-0.010948171258495787,0.10718538067336753,1.5358615314169377e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,risk_concentration_negative,default_market,240,1000,6.948692198647807e+08,3.5518580291421914e+08,7.573459632338073e+08,-8.370376851779677e+06,-1.3002818989547387e+07,56223.8778587656,0.054990594851312954,6.19411811458009e+06,116421.20095484846,103516.43231851747,1.6166362449542521e+06,279660.12379334087,2.431265638369751e+06,-0.10424239727885071,417622.9087449191,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.6114570361145704,32.4137157322794,0,-0.005489151018848282,0.05359269033668376,1.5358615314169377e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,moderate_positive,default_market,60,1000,7.218665432600617e+08,7.076205826939012e+08,7.306475142696577e+08,1.1056998329574734e+07,4.682338302793052e+06,219047.5913911889,0.19035771159679854,7.168958632766049e+06,116924.85864126135,114556.24879247729,2.291907633749814e+06,0,2.291907633749814e+06,-0.10096283722053218,1.7390922785824277e+07,1.237788542784431e+07,1.237788542784431e+07,0,0,0.9527744982290437,49.722693512069256,0.01072756706913447,-0.021061229679071092,0.20297414508584477,1.7134322338373244e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,moderate_positive,default_market,120,1000,8.415603304585118e+08,7.911154593140099e+08,8.767024766656188e+08,-7.468926214584179e+06,-1.387184658521395e+07,132140.4346834115,0.11520074760120821,7.168958632766049e+06,119910.29933984042,104964.54285151282,2.291907633749814e+06,0,2.291907633749814e+06,-0.12277943373594602,558950.4243164845,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6320441988950276,32.27077449649509,0,-0.013014254337404774,0.12155330883511917,1.5030940992523572e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
