parameter_path,parameter_value,scenario,behavior_case,horizon_months,metric,median_value,median_paired_delta,classification
market.shock_revenue_multiplier,0.9,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5498830925431675e+08,3.957592680582747e+06,development_dominant
market.shock_revenue_multiplier,0.9,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5498830925431675e+08,3.957592680582747e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.25,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.25,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.25,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.5,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.5,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.5,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.75,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.75,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,0.75,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.external_capital_access_multiplier,1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,0,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6915495960684675e+08,-1.9976519330606312e+06,risk_constrained
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,0,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5515371231572396e+08,3.7971361910058856e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,0,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5515371231572396e+08,3.7971361910058856e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6790025732106924e+08,-3.03947315993008e+06,risk_constrained
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5519702199802756e+08,3.7672351543044895e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5519702199802756e+08,3.7672351543044895e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,4,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,4,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,4,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,8,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.5790428278582367e+08,-1.2019221264685422e+07,risk_constrained
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,8,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.562037581502284e+08,4.769647776819959e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,8,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.562037581502284e+08,4.769647776819959e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,16,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.572827391422911e+08,-1.3469010454266623e+07,risk_constrained
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,16,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.572827391422911e+08,5.9003719810041785e+06,development_dominant
organizational_scenarios.worker_cooperative.governance.base_governance_hours_per_employee_month,16,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.572827391422911e+08,5.9003719810041785e+06,development_dominant
